"municipiouf";"2013";"2015";"2017"
"BOM JESUS, PI";1;NA;NA
"BOMBINHAS, SC";2;NA;NA
"BONFIM, RR";6;NA;NA
"BONFINOPOLIS, GO";5;NA;NA
"Bonito de Santa fé, PB";6;8;NA
"BONITO, MS";6;NA;NA
"BONITO, PE";8;NA;NA
"BOQUEIRAO, PB";2;NA;NA
"BOQUIM, SE";4;NA;NA
"BOQUIRA, BA";6;NA;NA
"BORRAZOPOLIS, PR";3;NA;NA
"BOTUCATU, SP";12;NA;NA
"BOTUPORA, BA";7;NA;NA
"BRACO DO NORTE, SC";9;NA;NA
"BRAGANCA PAULISTA, SP";16;NA;NA
"BRAGANCA, PA";6;NA;NA
"BRASIL NOVO, PA";6;NA;NA
"BRASILANDIA, MS";8;NA;NA
"BRASILEIA, AC";13;NA;NA
"BRASILIA DE MINAS, MG";3;NA;NA
"BRASILIA, DF";181;NA;NA
"Brasópolis, MG";6;15;NA
"BREJETUBA, ES";2;NA;NA
"BREJINHO, PE";4;NA;NA
"BREJINHO, RN";7;NA;NA
"BREJO DA MADRE DE DEUS, PE";2;NA;NA
"Brejo Dos Santos, PB";11;13;NA
"BREJO SANTO, CE";13;NA;NA
"BREJO, MA";3;NA;NA
"BREU BRANCO, PA";16;NA;NA
"BREVES, PA";25;NA;NA
"BRODOWSKI, SP";5;NA;NA
"BROTAS, SP";6;NA;NA
"BRUMADINHO, MG";11;NA;NA
"BRUMADO, BA";10;NA;NA
"BRUSQUE, SC";14;NA;NA
"BUERAREMA, BA";15;NA;NA
"BUIQUE, PE";6;NA;NA
"BUJARU, PA";6;NA;NA
"BURITI BRAVO, MA";10;NA;NA
"Buriti Dos Lopes, PI";13;26;NA
"BURITI DOS LOPES, PI";7;NA;NA
"Buriti Dos Montes, PI";8;12;NA
"BURITI, MA";2;NA;NA
"BURITICUPU, MA";8;NA;NA
"BURITIRANA, MA";5;NA;NA
"BURITIS, MG";5;NA;NA
"BURITIZEIRO, MG";7;NA;NA
"BUTIA, RS";6;NA;NA
"CAAPORA, PB";4;NA;NA
"CAARAPO, MS";11;NA;NA
"CABEDELO, PB";8;NA;NA
"CABO DE SANTO AGOSTINHO, PE";19;NA;NA
"CABO FRIO, RJ";23;NA;NA
"CABROBO, PE";11;NA;NA
"CACADOR, SC";13;NA;NA
"CACAPAVA DO SUL, RS";7;NA;NA
"CACERES, MT";16;NA;NA
"CACHOEIRA ALTA, GO";5;NA;NA
"CACHOEIRA DO PIRIA, PA";8;NA;NA
"CACHOEIRA DO SUL, RS";8;NA;NA
"CACHOEIRA DOS INDIOS, PB";6;NA;NA
"Cachoeira Dos Índios, PB";5;17;NA
"CACHOEIRA PAULISTA, SP";9;NA;NA
"CACHOEIRA, BA";8;NA;NA
"CACHOEIRAS DE MACACU, RJ";4;NA;NA
"CACHOEIRINHA, RS";24;NA;NA
"CACHOEIRO DE ITAPEMIRIM, ES";42;NA;NA
"CACIMBA DE DENTRO, PB";7;NA;NA
"CACOAL, RO";6;NA;NA
"CACU, GO";4;NA;NA
"CACULE, BA";9;NA;NA
"CAETE, MG";5;NA;NA
"CAETES, PE";4;NA;NA
"CAETITE, BA";7;NA;NA
"CAIBI, SC";3;NA;NA
"CAICO, RN";9;NA;NA
"CAJAMAR, SP";12;NA;NA
"CAJATI, SP";10;NA;NA
"CAJAZEIRAS, PB";8;NA;NA
"CAJUEIRO, AL";7;NA;NA
"CAJURU, SP";5;NA;NA
"CALCOENE, AP";7;NA;NA
"CALDAS NOVAS, GO";14;NA;NA
"CALMON, SC";5;NA;NA
"CAMACAN, BA";5;NA;NA
"CAMACARI, BA";15;NA;NA
"CAMALAU, PB";8;NA;NA
"CAMAMU, BA";9;NA;NA
"CAMAPUA, MS";10;NA;NA
"CAMAQUA, RS";14;NA;NA
"CAMARAGIBE, PE";3;NA;NA
"CAMBARA, PR";4;NA;NA
"CAMBE, PR";25;NA;NA
"CAMBORIU, SC";9;NA;NA
"CAMBUI, MG";6;NA;NA
"CAMETA, PA";12;NA;NA
"CAMOCIM, CE";16;NA;NA
"Campestre da Serra, RS";5;5;NA
"CAMPESTRE, MG";4;NA;NA
"Campina Das Missões, RS";5;6;NA
"CAMPINA GRANDE DO SUL, PR";6;NA;NA
"CAMPINA GRANDE, PB";39;NA;NA
"CAMPINAS, SP";68;NA;NA
"CAMPINORTE, GO";7;NA;NA
"CAMPO ALEGRE DE GOIAS, GO";4;NA;NA
"CAMPO ALEGRE DE LOURDES, BA";7;NA;NA
"CAMPO ALEGRE, AL";7;NA;NA
"CAMPO BELO, MG";8;NA;NA
"CAMPO BOM, RS";10;NA;NA
"Campo de Santana, PB";4;4;NA
"CAMPO ERE, SC";6;NA;NA
"CAMPO FORMOSO, BA";12;NA;NA
"CAMPO GRANDE, MS";70;NA;NA
"CAMPO LARGO, PR";14;NA;NA
"CAMPO LIMPO PAULISTA, SP";10;NA;NA
"CAMPO MAGRO, PR";4;NA;NA
"CAMPO MAIOR, PI";8;NA;NA
"CAMPO MOURAO, PR";14;NA;NA
"CAMPO REDONDO, RN";6;NA;NA
"CAMPO VERDE, MT";3;NA;NA
"CAMPOS ALTOS, MG";5;NA;NA
"Campos Dos Goytacazes, RJ";492;242;NA
"CAMPOS DOS GOYTACAZES, RJ";54;NA;NA
"CAMPOS GERAIS, MG";7;NA;NA
"CAMPOS NOVOS, SC";6;NA;NA
"CAMPOS SALES, CE";8;NA;NA
"CAMPOS VERDES, GO";6;NA;NA
"CANAA DOS CARAJAS, PA";13;NA;NA
"Canaã Dos Carajás, PA";36;77;NA
"CANARANA, BA";6;NA;NA
"CANAVIEIRAS, BA";9;NA;NA
"CANDEIAS DO JAMARI, RO";3;NA;NA
"CANDEIAS, BA";6;NA;NA
"CANDELARIA, RS";3;NA;NA
"CANDIDO DE ABREU, PR";6;NA;NA
"CANDIDO SALES, BA";5;NA;NA
"CANELA, RS";5;NA;NA
"CANGUARETAMA, RN";9;NA;NA
"CANGUCU, RS";8;NA;NA
"CANHOTINHO, PE";5;NA;NA
"CANINDE DE SAO FRANCISCO, SE";7;NA;NA
"CANINDE, CE";12;NA;NA
"CANOAS, RS";20;NA;NA
"CANOINHAS, SC";8;NA;NA
"CANSANCAO, BA";8;NA;NA
"CANTAGALO, MG";5;NA;NA
"CANTAGALO, PR";3;NA;NA
"CANTANHEDE, MA";5;NA;NA
"CANTO DO BURITI, PI";6;NA;NA
"CANUDOS, BA";5;NA;NA
"CANUTAMA, AM";8;NA;NA
"CAPANEMA, PA";10;NA;NA
"CAPAO BONITO, SP";6;NA;NA
"CAPAO DA CANOA, RS";8;NA;NA
"CAPAO DO LEAO, RS";6;NA;NA
"CAPARAO, MG";3;NA;NA
"CAPELA DO ALTO ALEGRE, BA";6;NA;NA
"CAPELA, AL";4;NA;NA
"CAPELA, SE";5;NA;NA
"CAPELINHA, MG";9;NA;NA
"CAPIM GROSSO, BA";5;NA;NA
"CAPINZAL, SC";3;NA;NA
"CAPISTRANO, CE";6;NA;NA
"CAPITAO ENEAS, MG";3;NA;NA
"CAPITAO POCO, PA";11;NA;NA
"CAPIVARI DE BAIXO, SC";8;NA;NA
"CAPIVARI, SP";8;NA;NA
"CARACOL, MS";3;NA;NA
"CARAGUATATUBA, SP";26;NA;NA
"CARAI, MG";7;NA;NA
"CARANGOLA, MG";6;NA;NA
"CARATINGA, MG";13;NA;NA
"CARAUARI, AM";6;NA;NA
"CARAUBAS, RN";7;NA;NA
"CARAVELAS, BA";5;NA;NA
"CARAZINHO, RS";6;NA;NA
"CARBONITA, MG";4;NA;NA
"CARDOSO MOREIRA, RJ";3;NA;NA
"CAREIRO DA VARZEA, AM";5;NA;NA
"CAREIRO, AM";6;NA;NA
"CARIACICA, ES";43;NA;NA
"CARIDADE, CE";10;NA;NA
"CARINHANHA, BA";7;NA;NA
"CARIRI DO TOCANTINS, TO";5;NA;NA
"CARIRIACU, CE";8;NA;NA
"CARLOS BARBOSA, RS";4;NA;NA
"CARMO DO PARANAIBA, MG";9;NA;NA
"CARMO DO RIO CLARO, MG";5;NA;NA
"Carnaúba Dos Dantas, RN";13;22;NA
"CARNAUBAL, CE";6;NA;NA
"CARNAUBEIRA DA PENHA, PE";6;NA;NA
"CAROEBE, RR";4;NA;NA
"CAROLINA, MA";8;NA;NA
"CARPINA, PE";9;NA;NA
"CARUARU, PE";51;NA;NA
"CARUTAPERA, MA";3;NA;NA
"CASA NOVA, BA";8;NA;NA
"CASCAVEL, CE";8;NA;NA
"CASCAVEL, PR";54;NA;NA
"CASIMIRO DE ABREU, RJ";6;NA;NA
"Cássia Dos Coqueiros, SP";3;8;NA
"CASSIA, MG";6;NA;NA
"CASSILANDIA, MS";5;NA;NA
"CASTANHAL, PA";26;NA;NA
"CASTELO, ES";14;NA;NA
"CASTRO ALVES, BA";2;NA;NA
"CASTRO, PR";16;NA;NA
"CATAGUASES, MG";9;NA;NA
"CATALAO, GO";9;NA;NA
"CATANDUVA, SP";5;NA;NA
"CATANDUVAS, SC";5;NA;NA
"CATENDE, PE";6;NA;NA
"CATINGUEIRA, PB";4;NA;NA
"CATOLE DO ROCHA, PB";4;NA;NA
"CATU, BA";8;NA;NA
"CAUCAIA, CE";21;NA;NA
"CAXIAS DO SUL, RS";17;NA;NA
"CAXIAS, MA";16;NA;NA
"CEARA-MIRIM, RN";4;NA;NA
"Ceará-mirim, RN";23;56;NA
"CEDRO, CE";7;NA;NA
"CEDRO, PE";6;NA;NA
"CENTRO DO GUILHERME, MA";7;NA;NA
"CEREJEIRAS, RO";3;NA;NA
"CERES, GO";3;NA;NA
"CERQUILHO, SP";4;NA;NA
"CERRO CORA, RN";4;NA;NA
"CHA GRANDE, PE";6;NA;NA
"Chapada Dos Guimarães, MT";20;8;NA
"CHAPADAO DO SUL, MS";7;NA;NA
"CHAPADINHA, MA";9;NA;NA
"CHAPECO, SC";17;NA;NA
"CHOPINZINHO, PR";4;NA;NA
"CHUI, RS";3;NA;NA
"CIANORTE, PR";4;NA;NA
"CIDADE GAUCHA, PR";6;NA;NA
"CIDADE OCIDENTAL, GO";8;NA;NA
"Claro Dos Poções, MG";5;20;NA
"CLAUDIA, MT";3;NA;NA
"COARACI, BA";8;NA;NA
"COARI, AM";13;NA;NA
"COCAL DE TELHA, PI";6;NA;NA
"COCAL DO SUL, SC";6;NA;NA
"Cocal Dos Alves, PI";6;9;NA
"COCAL, PI";6;NA;NA
"COCALZINHO DE GOIAS, GO";7;NA;NA
"CODO, MA";12;NA;NA
"COELHO NETO, MA";6;NA;NA
"COLATINA, ES";29;NA;NA
"COLINA, SP";7;NA;NA
"COLINAS DO TOCANTINS, TO";9;NA;NA
"COLINAS, MA";4;NA;NA
"COLOMBO, PR";12;NA;NA
"COLONIA LEOPOLDINA, AL";6;NA;NA
"COLORADO, PR";8;NA;NA
"COMENDADOR LEVY GASPARIAN, RJ";5;NA;NA
"COMODORO, MT";4;NA;NA
"CONCEICAO DA BARRA, ES";2;NA;NA
"CONCEICAO DA FEIRA, BA";8;NA;NA
"CONCEICAO DAS ALAGOAS, MG";8;NA;NA
"Conceição Das Alagoas, MG";6;33;NA
"Conceição Das Pedras, MG";NA;5;NA
"CONCEICAO DE MACABU, RJ";3;NA;NA
"CONCEICAO DO ARAGUAIA, PA";7;NA;NA
"CONCEICAO DO CASTELO, ES";7;NA;NA
"CONCEICAO DO COITE, BA";11;NA;NA
"CONCEICAO DO JACUIPE, BA";9;NA;NA
"Conceição do Jacuípe, BA";4;15;NA
"Conceição do Lago-açu, MA";7;15;NA
"CONCEICAO DO RIO VERDE, MG";3;NA;NA
"Conceição Dos Ouros, MG";4;3;NA
"CONCEICAO, PB";6;NA;NA
"CONCHAL, SP";4;NA;NA
"CONCORDIA DO PARA, PA";4;NA;NA
"CONCORDIA, SC";9;NA;NA
"CONDADO, PE";8;NA;NA
"CONDE, BA";5;NA;NA
"CONDE, PB";10;NA;NA
"CONDEUBA, BA";7;NA;NA
"CONFRESA, MT";8;NA;NA
"CONGONHAS, MG";10;NA;NA
"Conquista D'oeste, MT";NA;5;NA
"Conquista D´oeste, MT";6;NA;NA
"CONSELHEIRO LAFAIETE, MG";10;NA;NA
"CONSELHEIRO PENA, MG";4;NA;NA
"CONTAGEM, MG";56;NA;NA
"CONTENDA, PR";3;NA;NA
"CORACAO DE JESUS, MG";5;NA;NA
"CORDEIROPOLIS, SP";8;NA;NA
"COREAU, CE";4;NA;NA
"COREMAS, PB";4;NA;NA
"CORINTO, MG";4;NA;NA
"CORNELIO PROCOPIO, PR";7;NA;NA
"COROATA, MA";10;NA;NA
"COROMANDEL, MG";10;NA;NA
"CORONEL FABRICIANO, MG";23;NA;NA
"CORONEL JOAO SA, BA";10;NA;NA
"Coronel João sá, BA";24;32;NA
"CORONEL SAPUCAIA, MS";4;NA;NA
"CORONEL VIVIDA, PR";3;NA;NA
"CORREIA PINTO, SC";8;NA;NA
"CORRENTE, PI";7;NA;NA
"CORRENTINA, BA";4;NA;NA
"CORTES, PE";7;NA;NA
"CORUMBA DE GOIAS, GO";3;NA;NA
"CORUMBA, MS";18;NA;NA
"CORUMBAIBA, GO";4;NA;NA
"CORURIPE, AL";5;NA;NA
"COSMOPOLIS, SP";15;NA;NA
"COSTA RICA, MS";3;NA;NA
"COTEGIPE, BA";8;NA;NA
"COTIA, SP";11;NA;NA
"Couto de Magalhães, TO";4;9;NA
"COXIM, MS";11;NA;NA
"CRAIBAS, AL";5;NA;NA
"CRATEUS, CE";13;NA;NA
"CRATO, CE";14;NA;NA
"CRAVINHOS, SP";8;NA;NA
"CRICIUMA, SC";19;NA;NA
"CRISOPOLIS, BA";7;NA;NA
"CRISTALINA, GO";6;NA;NA
"CRIXAS DO TOCANTINS, TO";4;NA;NA
"CRIXAS, GO";5;NA;NA
"CRUZ ALTA, RS";15;NA;NA
"Cruz Das Almas, BA";14;49;NA
"CRUZ DAS ALMAS, BA";5;NA;NA
"CRUZ, CE";6;NA;NA
"CRUZEIRO DO OESTE, PR";9;NA;NA
"CRUZEIRO DO SUL, AC";17;NA;NA
"CUBATAO, SP";17;NA;NA
"CUIABA, MT";65;NA;NA
"CUITE, PB";6;NA;NA
"CUNHA PORA, SC";2;NA;NA
"CUPIRA, PE";6;NA;NA
"CURACA, BA";10;NA;NA
"CURITIBA, PR";192;NA;NA
"CURITIBANOS, SC";2;NA;NA
"CURIUVA, PR";4;NA;NA
"CURRAIS NOVOS, RN";7;NA;NA
"CURRALINHO, PA";5;NA;NA
"CURUCA, PA";5;NA;NA
"CURURUPU, MA";12;NA;NA
"CURVELO, MG";11;NA;NA
"CUSTODIA, PE";8;NA;NA
"DELMIRO GOUVEIA, AL";6;NA;NA
"DEODAPOLIS, MS";6;NA;NA
"DESTERRO, PB";7;NA;NA
"DIADEMA, SP";35;NA;NA
"Diamante D'oeste, PR";NA;7;NA
"Diamante D´oeste, PR";14;6;NA
"DIAMANTE DOESTE, PR";7;NA;NA
"DIAMANTINA, MG";6;NA;NA
"DIAMANTINO, MT";3;NA;NA
"DIANOPOLIS, TO";8;NA;NA
"Dias D'ávila, BA";NA;7;NA
"Dias D´ávila, BA";6;6;NA
"DIAS DAVILA, BA";8;NA;NA
"DIONISIO CERQUEIRA, SC";6;NA;NA
"Divino Das Laranjeiras, MG";11;10;NA
"DIVINO, MG";8;NA;NA
"DIVINOPOLIS, MG";18;NA;NA
"DIVISA ALEGRE, MG";8;NA;NA
"DIVISOPOLIS, MG";5;NA;NA
"Dois Irmãos Das Missões, RS";6;10;NA
"DOIS RIACHOS, AL";5;NA;NA
"DOIS VIZINHOS, PR";12;NA;NA
"Dolcinópolis, SP";4;5;NA
"DOM CAVATI, MG";6;NA;NA
"DOM ELISEU, PA";3;NA;NA
"DOM EXPEDITO LOPES, PI";6;NA;NA
"DOM FELICIANO, RS";5;NA;NA
"DOM PEDRITO, RS";5;NA;NA
"DOM PEDRO, MA";5;NA;NA
"DOURADOS, MS";21;NA;NA
"DRACENA, SP";10;NA;NA
"DUQUE DE CAXIAS, RJ";28;NA;NA
"ECOPORANGA, ES";13;NA;NA
"EDEALINA, GO";1;NA;NA
"Eldorado Dos Carajás, PA";37;57;NA
"ELDORADO, MS";7;NA;NA
"ELDORADO, SP";5;NA;NA
"ELESBAO VELOSO, PI";6;NA;NA
"ELOI MENDES, MG";5;NA;NA
"EMBU-GUACU, SP";7;NA;NA
"Embu-guaçu, SP";19;108;NA
"EMBU DAS ARTES, SP";10;NA;NA
"Embu, SP";41;139;NA
"ENCRUZILHADA, BA";7;NA;NA
"ENGENHEIRO CALDAS, MG";7;NA;NA
"ENGENHEIRO PAULO DE FRONTIN, RJ";5;NA;NA
"Entre-ijuís, RS";9;8;NA
"ENTRE RIOS DO OESTE, PR";4;NA;NA
"ENTRE RIOS, BA";2;NA;NA
"EPITACIOLANDIA, AC";11;NA;NA
"ERECHIM, RS";8;NA;NA
"ERVAL VELHO, SC";2;NA;NA
"ERVALIA, MG";3;NA;NA
"ESCADA, PE";7;NA;NA
"ESMERALDAS, MG";7;NA;NA
"ESPERA FELIZ, MG";7;NA;NA
"ESPERANCA, PB";5;NA;NA
"ESPERANTINA, PI";6;NA;NA
"Espigão D'oeste, RO";NA;10;NA
"Espigão D´oeste, RO";9;NA;NA
"ESPINOSA, MG";4;NA;NA
"ESPLANADA, BA";5;NA;NA
"ESTANCIA, SE";8;NA;NA
"ESTEIO, RS";14;NA;NA
"ESTREITO, MA";6;NA;NA
"Estrela D'oeste, SP";NA;6;NA
"Estrela D´oeste, SP";4;2;NA
"EUCLIDES DA CUNHA PAULISTA, SP";4;NA;NA
"EUCLIDES DA CUNHA, BA";15;NA;NA
"EUNAPOLIS, BA";14;NA;NA
"EUSEBIO, CE";8;NA;NA
"EXTREMA, MG";8;NA;NA
"EXTREMOZ, RN";5;NA;NA
"EXU, PE";6;NA;NA
"FAGUNDES, PB";4;NA;NA
"FARIAS BRITO, CE";7;NA;NA
"FARO, PA";6;NA;NA
"FARROUPILHA, RS";10;NA;NA
"Faxinal Dos Guedes, SC";3;4;NA
"FAZENDA RIO GRANDE, PR";18;NA;NA
"FEIJO, AC";3;NA;NA
"FEIRA DE SANTANA, BA";55;NA;NA
"FEIRA GRANDE, AL";6;NA;NA
"FEIRA NOVA, PE";6;NA;NA
"Felício Dos Santos, MG";1;3;NA
"FERNANDOPOLIS, SP";25;NA;NA
"FERRAZ DE VASCONCELOS, SP";5;NA;NA
"FERVEDOURO, MG";4;NA;NA
"Figueirópolis D'oeste, MT";NA;8;NA
"Figueirópolis D´oeste, MT";7;NA;NA
"FIGUEIROPOLIS, TO";5;NA;NA
"FLEXEIRAS, AL";8;NA;NA
"FLORANIA, RN";6;NA;NA
"FLORES, PE";9;NA;NA
"FLORESTA AZUL, BA";7;NA;NA
"FLORESTA, PE";10;NA;NA
"FLORIANO, PI";7;NA;NA
"FLORIANOPOLIS, SC";116;NA;NA
"FONTE BOA, AM";12;NA;NA
"FORMIGA, MG";7;NA;NA
"FORMOSA DO RIO PRETO, BA";8;NA;NA
"FORMOSA, GO";7;NA;NA
"FORQUILHA, CE";3;NA;NA
"FORQUILHINHA, SC";6;NA;NA
"Fortaleza Dos Nogueiras, MA";8;8;NA
"Fortaleza Dos Valos, RS";2;5;NA
"FORTALEZA, CE";236;NA;NA
"FOZ DO IGUACU, PR";54;NA;NA
"FRAIBURGO, SC";4;NA;NA
"FRANCA, SP";16;NA;NA
"FRANCISCO BELTRAO, PR";8;NA;NA
"FRANCISCO SA, MG";5;NA;NA
"Francisco sá, MG";12;19;NA
"FRANCISCO SANTOS, PI";5;NA;NA
"FRANCO DA ROCHA, SP";11;NA;NA
"FREDERICO WESTPHALEN, RS";9;NA;NA
"FREI INOCENCIO, MG";8;NA;NA
"FREI PAULO, SE";5;NA;NA
"Fronteira Dos Vales, MG";4;10;NA
"FRUTAL, MG";8;NA;NA
"FUNDAO, ES";3;NA;NA
"GAMELEIRA, PE";5;NA;NA
"GAMELEIRAS, MG";7;NA;NA
"GANDU, BA";8;NA;NA
"GARANHUNS, PE";25;NA;NA
"GARCA, SP";7;NA;NA
"GARIBALDI, RS";5;NA;NA
"GAROPABA, SC";4;NA;NA
"GARRAFAO DO NORTE, PA";8;NA;NA
"GARUVA, SC";2;NA;NA
"GASPAR, SC";18;NA;NA
"Gavião Peixoto, SP";3;3;NA
"GILBUES, PI";5;NA;NA
"GIRAU DO PONCIANO, AL";8;NA;NA
"GIRUA, RS";6;NA;NA
"Glória D'oeste, MT";NA;20;NA
"Glória D´oeste, MT";19;NA;NA
"GLORIA DE DOURADOS, MS";5;NA;NA
"GLORIA DO GOITA, PE";6;NA;NA
"GODOY MOREIRA, PR";3;NA;NA
"GOIANA, PE";6;NA;NA
"GOIANAPOLIS, GO";3;NA;NA
"GOIANESIA DO PARA, PA";16;NA;NA
"GOIANESIA, GO";7;NA;NA
"GOIANIA, GO";105;NA;NA
"GOIANINHA, RN";7;NA;NA
"GOIANIRA, GO";3;NA;NA
"GOIAS, GO";10;NA;NA
"GOIOERE, PR";4;NA;NA
"GONCALVES DIAS, MA";7;NA;NA
"Governador Dix-sept Rosado, RN";12;14;NA
"GOVERNADOR EDISON LOBAO, MA";4;NA;NA
"GOVERNADOR LINDENBERG, ES";3;NA;NA
"Governador Lomanto Júnior, BA";1;NA;NA
"GOVERNADOR MANGABEIRA, BA";7;NA;NA
"GOVERNADOR NUNES FREIRE, MA";4;NA;NA
"GOVERNADOR VALADARES, MG";13;NA;NA
"GRAJAU, MA";5;NA;NA
"Gramado Dos Loureiros, RS";1;6;NA
"GRAMADO, RS";3;NA;NA
"GRANITO, PE";5;NA;NA
"GRANJA, CE";14;NA;NA
"GRAO MOGOL, MG";4;NA;NA
"GRAVATA, PE";11;NA;NA
"GRAVATAI, RS";15;NA;NA
"GUACUI, ES";17;NA;NA
"GUAIRA, PR";5;NA;NA
"GUAIRA, SP";5;NA;NA
"GUAIUBA, CE";5;NA;NA
"GUAJARA-MIRIM, RO";4;NA;NA
"Guajará-mirim, RO";12;20;NA
"GUAMARE, RN";10;NA;NA
"GUAMIRANGA, PR";4;NA;NA
"GUANAMBI, BA";7;NA;NA
"GUANHAES, MG";4;NA;NA
"GUAPIARA, SP";6;NA;NA
"GUAPIMIRIM, RJ";17;NA;NA
"GUAPO, GO";3;NA;NA
"GUAPORE, RS";4;NA;NA
"GUARABIRA, PB";5;NA;NA
"GUARACIABA DO NORTE, CE";6;NA;NA
"GUARAI, TO";6;NA;NA
"GUARAMIRIM, SC";10;NA;NA
"Guarani D'oeste, SP";NA;2;NA
"Guarani D´oeste, SP";4;5;NA
"GUARANI DAS MISSOES, RS";2;NA;NA
"Guarani Das Missões, RS";9;11;NA
"GUARANTA DO NORTE, MT";2;NA;NA
"GUARAPARI, ES";19;NA;NA
"GUARAPUAVA, PR";23;NA;NA
"GUARATINGA, BA";4;NA;NA
"GUARATINGUETA, SP";8;NA;NA
"GUARATUBA, PR";3;NA;NA
"Guarda-mor, MG";13;11;NA
"GUARIBA, SP";6;NA;NA
"GUARUJA, SP";45;NA;NA
"GUARULHOS, SP";74;NA;NA
"Guatapará, SP";NA;6;NA
"GUAXUPE, MG";3;NA;NA
"GUIA LOPES DA LAGUNA, MS";7;NA;NA
"GUIMARAES, MA";5;NA;NA
"GURINHEM, PB";5;NA;NA
"GURUPI, TO";10;NA;NA
"Herval D'oeste, SC";NA;9;NA
"Herval D´oeste, SC";15;7;NA
"HERVAL DOESTE, SC";5;NA;NA
"HIDROLANDIA, GO";4;NA;NA
"HIDROLINA, GO";5;NA;NA
"HORIZONTE, CE";8;NA;NA
"HORIZONTINA, RS";2;NA;NA
"HORTOLANDIA, SP";18;NA;NA
"HUMAITA, AM";5;NA;NA
"HUMBERTO DE CAMPOS, MA";5;NA;NA
"IACU, BA";11;NA;NA
"IBAITI, PR";4;NA;NA
"IBATEGUARA, AL";6;NA;NA
"IBIA, MG";2;NA;NA
"IBIAPINA, CE";7;NA;NA
"IBIARA, PB";7;NA;NA
"IBICARAI, BA";8;NA;NA
"IBIMIRIM, PE";23;NA;NA
"IBIPORA, PR";12;NA;NA
"IBIRACU, ES";2;NA;NA
"IBIRAJUBA, PE";6;NA;NA
"IBIRAPITANGA, BA";8;NA;NA
"IBIRITE, MG";9;NA;NA
"IBITINGA, SP";8;NA;NA
"IBOTIRAMA, BA";7;NA;NA
"ICAPUI, CE";5;NA;NA
"ICARA, SC";11;NA;NA
"ICATU, MA";3;NA;NA
"ICEM, SP";6;NA;NA
"ICO, CE";4;NA;NA
"ICONHA, ES";7;NA;NA
"IGACI, AL";4;NA;NA
"IGARAPE-ACU, PA";6;NA;NA
"Igarapé-açu, PA";7;15;NA
"IGARAPE-MIRI, PA";8;NA;NA
"Igarapé-miri, PA";39;68;NA
"IGARAPE, MG";6;NA;NA
"IGARASSU, PE";8;NA;NA
"IGREJA NOVA, AL";7;NA;NA
"IGREJINHA, RS";7;NA;NA
"IGUABA GRANDE, RJ";6;NA;NA
"IGUAI, BA";10;NA;NA
"IGUARACI, PE";1;NA;NA
"IGUATEMI, MS";3;NA;NA
"IGUATU, CE";11;NA;NA
"IJUI, RS";13;NA;NA
"Ilha Das Flores, SE";14;21;NA
"ILHA DE ITAMARACA, PE";10;NA;NA
"Ilha Grande, PI";1;10;NA
"ILHEUS, BA";10;NA;NA
"IMBITUBA, SC";11;NA;NA
"IMBITUVA, PR";5;NA;NA
"IMPERATRIZ, MA";13;NA;NA
"INACIOLANDIA, GO";4;NA;NA
"INAJA, PE";6;NA;NA
"INDAIAL, SC";13;NA;NA
"INDAIATUBA, SP";21;NA;NA
"INDEPENDENCIA, CE";8;NA;NA
"INGA, PB";4;NA;NA
"INHAMBUPE, BA";5;NA;NA
"INHAPIM, MG";6;NA;NA
"INHUMA, PI";19;NA;NA
"INHUMAS, GO";13;NA;NA
"IPAMERI, GO";6;NA;NA
"IPANEMA, MG";5;NA;NA
"IPATINGA, MG";17;NA;NA
"IPECAETA, BA";4;NA;NA
"IPERO, SP";11;NA;NA
"IPIAU, BA";8;NA;NA
"Ipiguá, SP";6;8;NA
"IPIRA, BA";8;NA;NA
"IPIRANGA DO PIAUI, PI";2;NA;NA
"IPIXUNA DO PARA, PA";1;NA;NA
"IPOJUCA, PE";13;NA;NA
"IPORA, GO";6;NA;NA
"IPORA, PR";4;NA;NA
"IPU, CE";7;NA;NA
"IPUBI, PE";1;NA;NA
"IRAI, RS";4;NA;NA
"IRANDUBA, AM";3;NA;NA
"IRANI, SC";3;NA;NA
"IRAQUARA, BA";6;NA;NA
"IRARA, BA";8;NA;NA
"IRATI, PR";10;NA;NA
"IRAUCUBA, CE";10;NA;NA
"IRECE, BA";6;NA;NA
"IRITUIA, PA";5;NA;NA
"ISRAELANDIA, GO";4;NA;NA
"ITABAIANA, PB";5;NA;NA
"ITABAIANA, SE";8;NA;NA
"ITABAIANINHA, SE";8;NA;NA
"ITABELA, BA";8;NA;NA
"ITABERABA, BA";9;NA;NA
"ITABERAI, GO";5;NA;NA
"ITABIRA, MG";11;NA;NA
"ITABIRITO, MG";9;NA;NA
"ITABORAI, RJ";14;NA;NA
"ITABUNA, BA";42;NA;NA
"ITACARAMBI, MG";4;NA;NA
"ITACARE, BA";3;NA;NA
"ITACOATIARA, AM";16;NA;NA
"ITACURUBA, PE";8;NA;NA
"ITAGUACU, ES";2;NA;NA
"ITAGUAI, RJ";20;NA;NA
"ITAGUARU, GO";5;NA;NA
"ITAI, SP";6;NA;NA
"ITAIBA, PE";4;NA;NA
"ITAIPE, MG";4;NA;NA
"ITAITINGA, CE";4;NA;NA
"ITAITUBA, PA";7;NA;NA
"ITAJAI, SC";36;NA;NA
"ITAJOBI, SP";6;NA;NA
